MW Drug,MW Sol,ALOGPS 2.1 solubility,minVSLgS 3-7.5,CLogP,HBA,HBD,PSA,Ro5,PSDA,Fa,predicted Fa,,0.00074222,0.00025154,-0.17893897,0.02243682,-0.02528684,0.02763966,-0.03970349,-0.00122711,-0.19992989,0.00098543,,,,,
441.57,441.57,-4.35,-3.35,1.99,6,2,113.88,0,3.88,0.96,1.042132697,,0.327743674,0.111073056,0.77838452,-0.07525646,-0.050320812,0.16583796,-0.07940698,-0.139743287,0,0.003821026,,,,,
425.92,425.92,-3.66,-4.31,4.27,3,2,66.8,0,6.38,0.93,0.801404892,,0.316127738,0.10713639,0.65491663,-0.096625287,-0.107974807,0.08291898,-0.07940698,-0.081970948,0,0.006283177,,,,,
543.53,543.53,-2.64,-3.74,0.32,12,6,222.89,3,2.44,0.12,0.143181571,,0.403420529,0.13672011,0.472398881,-0.08382396,-0.008091789,0.33167592,-0.23822094,-0.273510548,-0.59978967,0.002403037,,,,,
444.45,444.45,-2.85,0.52,-0.51,9,6,197.07,1,2.26,1,0.547284819,,0.329876101,0.111795741,0.509976065,0.011738675,0.012896288,0.24875694,-0.23822094,-0.241826568,-0.19992989,0.002222406,,,,,
348.4,348.4,-2.6,0.21,0.88,6,3,115.68,0,3.01,0.25,0.7017378,,0.258591214,0.087637135,0.465241322,0.004777248,-0.022252419,0.16583796,-0.11911047,-0.141952085,0,0.002967896,,,,,
305.22,305.22,-3.59,-2.73,1.76,6,2,128.04,0,2.38,0.5,0.771637743,,0.226536677,0.076773781,0.642390902,-0.06122021,-0.044504838,0.16583796,-0.07940698,-0.157119164,0,0.002349614,,,,,
424.52,424.52,-4.69,-4.18,4.8,5,2,92.48,0,4.59,0.15,0.995806196,,0.315089261,0.106784448,0.839223769,-0.093751579,-0.121376832,0.1381983,-0.07940698,-0.113477942,0,0.004523752,,,,,
733.95,733.95,-3.18,-3.84,1.61,13,5,203.27,2,3.61,0.5,0.686647176,,0.544748984,0.184616636,0.569025925,-0.086094341,-0.040711812,0.35931558,-0.19851745,-0.24943465,-0.39985978,0.003558085,,,,,
588.57,588.57,-2.78,-4.31,0.03,12,3,166.64,2,3.53,0.52,0.596634427,,0.436848863,0.148049046,0.497450337,-0.096655801,-0.000758605,0.33167592,-0.11911047,-0.20448561,-0.39985978,0.003480528,,,,,
384.26,384.26,-4.74,-4.72,5.3,3,1,68.7,1,5.59,0.88,0.754585859,,0.285207261,0.096657372,0.848170718,-0.105924227,-0.134020252,0.08291898,-0.03970349,-0.084302457,-0.19992989,0.005511845,,,,,
372.56,372.56,-5.28,-4.38,3.01,2,2,65.69,0,5.67,0.8,1.041444611,,0.276518195,0.093712628,0.944797762,-0.098322857,-0.076113388,0.05527932,-0.07940698,-0.080608856,0,0.005588787,,,,,
414.35,414.35,-4.12,-2.2,3.66,4,2,65.63,0,6.31,0.81,0.963825644,,0.307539562,0.104225838,0.737228556,-0.04945636,-0.092549834,0.11055864,-0.07940698,-0.080535229,0,0.006221451,,,,,
369.35,369.35,-3.11,-0.27,-0.33,6,1,61.72,0,5.98,1,0.982119568,,0.274136367,0.092905421,0.556500197,-0.006061352,0.008344657,0.16583796,-0.03970349,-0.075737229,0,0.005897037,,,,,
306.28,306.28,-2.33,-2.35,-0.44,5,1,70.48,0,4.35,0.95,0.695918382,,0.227324908,0.077040914,0.4169278,-0.052791818,0.01112621,0.1381983,-0.03970349,-0.086486713,0,0.004282272,,,,,
129.09,129.09,-1.83,0.05,-1.64,3,2,70.15,0,1.84,0.88,0.417544346,,0.095816431,0.0324724,0.327458315,0.001083099,0.041470418,0.08291898,-0.07940698,-0.086081767,0,0.001813449,,,,,
303.3,303.3,-2.46,-3.34,1.29,3,0,57.02,0,5.32,0.95,0.652258037,,0.225112008,0.076290958,0.440189866,-0.074905548,-0.032620024,0.08291898,0,-0.069969812,0,0.005241608,,,,,
411.48,411.48,-4.97,-4,4.05,4,3,86.52,0,4.76,1,0.996019899,,0.305406845,0.103503055,0.889326681,-0.089770166,-0.102411702,0.11055864,-0.11911047,-0.106169557,0,0.004686573,,,,,
473.45,473.45,-3.2,-1.81,-3.49,12,7,232.35,2,2.04,0.36,0.461435003,,0.351403324,0.119091364,0.572604704,-0.040696128,0.088251072,0.33167592,-0.27792443,-0.285119009,-0.39985978,0.002007966,,,,,
126.01,126.01,-0.84,3.43,-2.17,5,3,104.95,0,1.2,0.17,0.298763827,,0.093524069,0.031695514,0.150308735,0.076877296,0.054872443,0.1381983,-0.11911047,-0.128785195,0,0.001183134,,,,,
138.06,138.06,-0.47,4.57,-0.23,4,2,72.91,0,1.89,0.31,0.273114476,,0.102471368,0.034727773,0.084101316,0.102448988,0.005815973,0.11055864,-0.07940698,-0.08946859,0,0.001865987,,,,,
243.31,243.31,-3.3,0.42,0.72,2,3,74.79,0,3.25,0.4,0.671069175,,0.180590357,0.061202472,0.590498601,0.00938512,-0.018206525,0.05527932,-0.11911047,-0.091775557,0,0.003205857,,,,,
330.75,330.75,-3.44,-2.38,1.9,5,3,130.02,0,2.54,0.61,0.704899902,,0.245488426,0.083196571,0.615550057,-0.053335911,-0.048044996,0.1381983,-0.11911047,-0.159548842,0,0.002506767,,,,,
171.24,171.24,-1.6,1.75,-0.66,3,2,68.8,0,2.49,0.6,0.433889907,,0.127098747,0.043074047,0.286302352,0.039185906,0.016689314,0.08291898,-0.07940698,-0.084425168,0,0.002452709,,,,,
255.24,277.21,-1.34,-1.52,-2.73,8,4,134.88,0,1.89,0.09,0.432553346,,0.189440566,0.06973002,0.23977822,-0.034083998,0.069033073,0.22111728,-0.15881396,-0.165512597,0,0.001864741,,,,,
477.61,477.61,-1.58,3.49,-1.8,12,8,215.91,2,2.21,0,0.232491601,,0.354488844,0.120137053,0.282723573,0.078203087,0.045516312,0.33167592,-0.31762792,-0.26494532,-0.39985978,0.002179832,,,,,
490.63,490.63,-4.1,-5.7,3.96,5,3,137.24,0,3.57,1,0.847387865,,0.364152712,0.12341216,0.733649777,-0.127893015,-0.100135886,0.1381983,-0.11911047,-0.168408576,0,0.003522865,,,,,
445.54,445.54,-4.46,-4.49,2.57,6,3,138.28,0,3.22,1,0.955219729,,0.330691994,0.112072248,0.798067806,-0.100842961,-0.064987179,0.16583796,-0.11911047,-0.169684771,0,0.0031751,,,,,
494.01,494.01,-5.4,-5.47,4.24,5,3,126.89,0,3.89,1,1.094549439,,0.366666856,0.124264209,0.966270438,-0.122652223,-0.107216202,0.1381983,-0.11911047,-0.155707988,0,0.003836519,,,,,
312.42,312.42,-2.87,-1.16,1.72,3,1,47.74,0,6.54,1,0.74559024,,0.231883022,0.078585669,0.513554844,-0.026021999,-0.043493365,0.08291898,-0.03970349,-0.058582231,0,0.006448811,,,,,
246.1,246.1,-3.25,-2.16,1.37,3,3,83.82,0,2.94,1,0.606855171,,0.182658546,0.061903385,0.581551653,-0.048460839,-0.034642971,0.08291898,-0.11911047,-0.10285636,0,0.002893247,,,,,
375.87,375.87,-4.93,-3.68,3.85,3,1,42.01,0,8.95,1,1.076331059,,0.278981467,0.094547437,0.882169122,-0.082494129,-0.097354334,0.08291898,-0.03970349,-0.051550891,0,0.008816898,,,,,
76.06,76.06,0.52,1.19,-1.8,2,3,86.58,0,0.88,1,-0.114567657,,0.056449713,0.019130933,-0.093048264,0.026592343,0.045516312,0.05527932,-0.11911047,-0.106243184,0,0.00086564,,,,,
206.29,206.29,-3.46,-2.31,3.68,2,1,40.83,0,5.05,0.95,0.649714023,,0.153110493,0.051889485,0.619128836,-0.05181088,-0.093055571,0.05527932,-0.03970349,-0.050102901,0,0.004978731,,,,,
261.09,261.09,-1.2,-2.4,0.92,2,1,44.31,0,5.89,1,0.364098338,,0.193785923,0.065674478,0.214726764,-0.053834008,-0.023263893,0.05527932,-0.03970349,-0.054373244,0,0.005806489,,,,,
299.35,299.35,-2.65,0.82,-1.35,6,4,120.42,0,2.49,1,0.685812494,,0.222184292,0.075298748,0.474188271,0.018298865,0.034137234,0.16583796,-0.15881396,-0.147768586,0,0.002449672,,,,,
357.8,357.8,-5.2,-3.11,4.18,4,1,68.78,0,5.2,1,1.102217247,,0.265563844,0.090000174,0.930482644,-0.0697112,-0.105698991,0.11055864,-0.03970349,-0.084400626,0,0.005126251,,,,,
705.65,705.65,-4.87,-8.44,5.99,9,0,84.66,2,8.34,0.85,0.9849701,,0.523747773,0.177499279,0.871432784,-0.189465258,-0.151468172,0.24875694,0,-0.103887133,-0.39985978,0.008213666,,,,,
395.44,395.44,-3.38,-5.1,3,4,1,70.53,0,5.61,1,0.797304614,,0.293501502,0.099468309,0.604813719,-0.114450443,-0.07586052,0.11055864,-0.03970349,-0.086548068,0,0.005524966,,,,,
254.29,254.29,-4.07,-2.82,2.76,3,1,59.1,0,4.3,0.92,0.822794907,,0.188737773,0.063963649,0.728281608,-0.063329719,-0.069791678,0.08291898,-0.03970349,-0.072522201,0,0.004239986,,,,,
255.28,255.28,-2.69,-2.37,1.62,3,1,59.67,0,4.28,1,0.615005914,,0.189470775,0.064212065,0.481345829,-0.053267703,-0.040964681,0.08291898,-0.03970349,-0.073221654,0,0.004215793,,,,,
229.26,229.26,-1.91,-1.21,-1.46,5,2,88.11,0,2.6,1,0.532703451,,0.170160741,0.057667852,0.341773433,-0.027052074,0.036918786,0.1381983,-0.07940698,-0.108120662,0,0.002564055,,,,,
256.1,256.1,-2.72,-2.75,2.53,5,2,88.97,0,2.88,1,0.56791896,,0.190079306,0.064418297,0.486713998,-0.06176879,-0.063975705,0.1381983,-0.07940698,-0.109175977,0,0.00283651,,,,,
369.37,369.37,-3.17,-3.74,2.6,4,1,61.94,0,5.96,1,0.785349402,,0.274152376,0.092910847,0.567236535,-0.083928964,-0.065745784,0.11055864,-0.03970349,-0.076007193,0,0.005876435,,,,,
285.31,285.31,-3.56,-4.71,1.24,4,0,61.36,0,4.65,1,0.823376884,,0.211763323,0.071767059,0.637022733,-0.105665755,-0.031355682,0.11055864,0,-0.07529547,0,0.004582036,,,,,
361.38,361.38,-2.4,-0.45,-0.51,7,1,70.83,0,5.1,1,0.863162406,,0.268220643,0.090900569,0.429453528,-0.010194236,0.012896288,0.19347762,-0.03970349,-0.086916201,0,0.005027685,,,,,
